Gene_Name,log2FoldChange
VGLL3,2.215198308
VEGFD,2.973976332
TMEM106B,-1.90365549
TBX5,-1.367680137
ST8SIA1,-1.418286945
SPTBN1,-3.272071293
SDC1,-3.272071293
SCN7A,1.787162761
RNF182,1.863867503
PSD2,-3.272071293
PKHD1L1,2.527539917
PHACTR1,-1.402163028
P2RY14,-2.438580298
LRRN3,-3.299826876
LGR4,5.04150364
LEPR,2.416269671
LBH,1.68325041
KCNQ3,-2.174522528
KCNA4,2.679603737
HHIP,3.687349509
GRIA1,-1.227412007
GPIHBP1,-3.272071293
GNAZ,-1.00690989
GMDS,-2.433525267
EPB41L5,1.668492374
DNASE1L3,5.891690061
COL13A1,-1.607297069
CDH13,4.181082926
CCK,1.968087052
CASS4,-3.272071293
C1ORF21,-1.554021107
ANLN,1.880454274
AFF3,-1.893691991
ADM2,2.91111115
ADAMTS8,3.568770164
